,Environment,Transition Type,Num GT Clusters,Num Learned Clusters,Num Rollouts,Algorithm,Initialisation,Replicate,Iterations,Responsibility Matrix,Reward Weights,Runtime (s)
23,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,23,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.409978177098754, 9.510298664616448], [9.670090117527364, 0.0], [10.0, 0.0], [9.199248485123457, 9.14099039845196], [9.85419917508244, 6.418740037240038]]]",9.796358
24,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,24,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.029458980116194, 9.227310744149447], [10.0, 0.0], [9.528468856951344, 0.0], [8.11553750886575, 8.112628602640717], [9.637307122721998, 6.6226669063760335]]]",9.727666000000001
25,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,25,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.620662567519592, 9.392332714848141], [9.926782082642807, 0.0], [9.807287452422745, 0.0], [9.435418689837311, 8.918055210254987], [9.625793729142623, 6.463978127613162]]]",9.621064
26,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,26,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.69441347737125, 9.018518970763232], [8.933132682155914, 0.0], [10.0, 0.0], [8.499053982293882, 8.115142588876997], [9.33128186541841, 0.0]]]",10.073767
27,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,27,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.382794931350157, 9.711759900598754], [9.899347758836845, 0.0], [9.324250355510209, 0.0], [9.716611896473417, 9.152665330769942], [10.0, 6.040288072492037]]]",10.106662
28,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,28,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.614110233364979, 9.64679679215873], [9.488772940179496, 0.0], [10.0, 0.0], [9.617390242076745, 8.666519681048744], [9.823767660918264, 6.023444692844373]]]",9.853296
29,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,29,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.976831875774582, 8.937883649202309], [8.556633464727403, 0.0], [10.0, 0.0], [8.370089157255249, 7.817531756356676], [9.130956791809556, 6.908634124034737]]]",9.990069
30,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,30,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.014430956241878, 9.247871730963574], [9.92971153672372, 0.0], [9.309987333080116, 0.0], [9.082788908549507, 8.825355836308747], [9.601683562604974, 5.746113553968766]]]",9.807486
31,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,31,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.552312407073138, 9.461246041491739], [9.27724450736838, 0.0], [9.825911225113424, 0.0], [10.0, 9.003521744600707], [9.553913385939577, 0.0]]]",10.679601
32,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,32,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.378960314655625, 9.597769505392863], [10.0, 0.0], [9.443430074787306, 0.0], [9.92532619430919, 9.486694154567232], [9.878221364434014, 6.4132051913406976]]]",9.683294
